*Time (s),Line A (?)
1264,1.67E-03
1265,1.10E-03
1266,5.00E-04
1267,-3.74E-05
1268,-4.40E-04
1269,-6.53E-04
1270,-6.39E-04
1271,-4.19E-04
1272,-4.03E-05
1273,4.09E-04
1274,8.19E-04
1275,1.07E-03
1276,0.001066217
1277,7.64E-04
1278,1.86E-04
1279,-5.66E-04
1280,-1.33E-03
1281,-1.90E-03
1282,-2.13E-03
1283,-1.91E-03
1284,-1.30E-03
1285,-4.60E-04
1286,3.78E-04
1287,9.87E-04
1288,1.22E-03
1289,1.04E-03
1290,4.96E-04
1291,-2.54E-04
1292,-1.03E-03
1293,-1.65E-03
1294,-1.96E-03
1295,-1.89E-03
1296,-1.45E-03
1297,-7.25E-04
1298,1.16E-04
1299,8.98E-04
1300,1.46E-03
1301,1.67E-03
1302,1.49E-03
1303,9.50E-04
1304,1.43E-04
1305,-7.64E-04
1306,-1.58E-03
1307,-2.10E-03
1308,-2.20E-03
1309,-1.82E-03
1310,-1.03E-03
1311,-1.48E-05
1312,9.96E-04
1313,1.78E-03
1314,2.17E-03
1315,2.13E-03
1316,1.70E-03
1317,9.87E-04
1318,1.62E-04
1319,-6.07E-04
1320,-1.17E-03
1321,-1.41E-03
1322,-1.28E-03
1323,-8.20E-04
1324,-1.11E-04
1325,7.07E-04
1326,1.48E-03
1327,2.08E-03
1328,2.39E-03
1329,2.38E-03
1330,2.04E-03
1331,1.43E-03
1332,6.42E-04
1333,-2.07E-04
1334,-9.80E-04
1335,-1.54E-03
1336,-1.79E-03
1337,-1.66E-03
1338,-1.18E-03
1339,-4.67E-04
1340,3.12E-04
1341,9.58E-04
1342,1.31E-03
1343,1.28E-03
1344,9.03E-04
1345,2.64E-04
1346,-4.85E-04
1347,-1.18E-03
1348,-1.67E-03
1349,-1.85E-03
1350,-1.68E-03
1351,-1.21E-03
1352,-5.68E-04
1353,8.13E-05
1354,5.65E-04
1355,7.62E-04
1356,6.27E-04
1357,1.94E-04
1358,-4.38E-04
1359,-1.13E-03
1360,-1.72E-03
1361,-2.08E-03
1362,-2.10E-03
1363,-1.75E-03
1364,-1.10E-03
1365,-3.15E-04
1366,4.15E-04
1367,9.13E-04
1368,1.10E-03
1369,9.95E-04
1370,7.01E-04
1371,3.46E-04
1372,4.68E-05
1373,-1.15E-04
1374,-9.91E-05
1375,9.70E-05
1376,4.41E-04
1377,8.72E-04
1378,1.32E-03
1379,1.70E-03
1380,1.96E-03
1381,2.06E-03
1382,1.99E-03
1383,1.76E-03
1384,1.44E-03
1385,1.05E-03
1386,6.76E-04
1387,3.46E-04
1388,9.65E-05
1389,-5.71E-05
1390,-1.18E-04
1391,-1.00E-04
1392,-3.03E-05
1393,6.05E-05
1394,1.33E-04
1395,1.43E-04
1396,5.19E-05
1397,-1.66E-04
1398,-4.98E-04
1399,-8.87E-04
1400,-1.25E-03
1401,-1.48E-03
1402,-1.54E-03
1403,-1.40E-03
1404,-1.08E-03
1405,-6.54E-04
1406,-2.09E-04
1407,1.48E-04
1408,3.35E-04
1409,3.22E-04
1410,1.43E-04
1411,-1.21E-04
1412,-3.72E-04
1413,-5.31E-04
1414,-5.64E-04
1415,-4.68E-04
1416,-2.74E-04
1417,-3.24E-05
1418,2.01E-04
1419,3.81E-04
1420,4.64E-04
1421,4.21E-04
1422,2.39E-04
